,날짜,지점,평균기온(℃)
70,2019-03-12,대전,4.5
71,2019-03-13,대전,3.7
72,2019-03-14,대전,5.9
73,2019-03-15,대전,6.9
74,2019-03-16,대전,6.0
75,2019-03-17,대전,7.3
76,2019-03-18,대전,7.1
77,2019-03-19,대전,10.6
78,2019-03-20,대전,10.9
79,2019-03-21,대전,8.5
80,2019-03-22,대전,4.4
81,2019-03-23,대전,3.2
82,2019-03-24,대전,4.5
83,2019-03-25,대전,7.2
84,2019-03-26,대전,11.9
85,2019-03-27,대전,14.3
86,2019-03-28,대전,12.0
87,2019-03-29,대전,11.6
88,2019-03-30,대전,6.1
89,2019-03-31,대전,5.5
90,2019-04-01,대전,6.1
91,2019-04-02,대전,6.6
92,2019-04-03,대전,7.6
93,2019-04-04,대전,9.2
94,2019-04-05,대전,11.6
95,2019-04-06,대전,12.5
96,2019-04-07,대전,14.2
97,2019-04-08,대전,12.6
98,2019-04-09,대전,10.4
99,2019-04-10,대전,7.9
100,2019-04-11,대전,10.3
101,2019-04-12,대전,12.1
102,2019-04-13,대전,12.2
103,2019-04-14,대전,10.5
104,2019-04-15,대전,11.6
105,2019-04-16,대전,14.6
106,2019-04-17,대전,17.2
107,2019-04-18,대전,15.7
108,2019-04-19,대전,14.5
109,2019-04-20,대전,17.2
110,2019-04-21,대전,18.1
111,2019-04-22,대전,20.5
112,2019-04-23,대전,18.6
113,2019-04-24,대전,17.7
114,2019-04-25,대전,15.1
115,2019-04-26,대전,10.0
116,2019-04-27,대전,12.2
117,2019-04-28,대전,12.9
118,2019-04-29,대전,11.0
119,2019-04-30,대전,16.1
120,2019-05-01,대전,15.9
121,2019-05-02,대전,15.9
122,2019-05-03,대전,18.0
123,2019-05-04,대전,19.2
124,2019-05-05,대전,19.8
125,2019-05-06,대전,14.5
126,2019-05-07,대전,14.9
127,2019-05-08,대전,15.9
128,2019-05-09,대전,17.7
129,2019-05-10,대전,18.6
130,2019-05-11,대전,20.1
131,2019-05-12,대전,21.5
132,2019-05-13,대전,20.1
133,2019-05-14,대전,21.1
134,2019-05-15,대전,22.0
135,2019-05-16,대전,23.5
136,2019-05-17,대전,23.7
137,2019-05-18,대전,19.1
138,2019-05-19,대전,21.1
139,2019-05-20,대전,17.1
140,2019-05-21,대전,17.9
141,2019-05-22,대전,20.8
142,2019-05-23,대전,23.0
143,2019-05-24,대전,24.4
144,2019-05-25,대전,24.0
145,2019-05-26,대전,24.7
146,2019-05-27,대전,17.9
147,2019-05-28,대전,17.7
148,2019-05-29,대전,20.1
149,2019-05-30,대전,20.2
150,2019-05-31,대전,19.0
151,2019-06-01,대전,19.1
152,2019-06-02,대전,21.5
153,2019-06-03,대전,23.4
154,2019-06-04,대전,24.3
155,2019-06-05,대전,24.3
156,2019-06-06,대전,22.0
157,2019-06-07,대전,18.8
158,2019-06-08,대전,21.3
159,2019-06-09,대전,22.1
160,2019-06-10,대전,18.9
161,2019-06-11,대전,21.1
162,2019-06-12,대전,21.4
163,2019-06-13,대전,23.4
164,2019-06-14,대전,21.9
165,2019-06-15,대전,21.9
166,2019-06-16,대전,21.9
167,2019-06-17,대전,22.2
168,2019-06-18,대전,21.7
169,2019-06-19,대전,22.7
170,2019-06-20,대전,23.9
171,2019-06-21,대전,23.8
172,2019-06-22,대전,23.9
173,2019-06-23,대전,24.2
174,2019-06-24,대전,24.9
175,2019-06-25,대전,26.4
176,2019-06-26,대전,22.1
177,2019-06-27,대전,24.7
178,2019-06-28,대전,25.4
179,2019-06-29,대전,22.2
180,2019-06-30,대전,24.0
181,2019-07-01,대전,23.7
182,2019-07-02,대전,23.8
183,2019-07-03,대전,24.4
184,2019-07-04,대전,25.6
185,2019-07-05,대전,27.7
186,2019-07-06,대전,27.5
187,2019-07-07,대전,25.3
188,2019-07-08,대전,24.5
189,2019-07-09,대전,24.4
190,2019-07-10,대전,21.6
191,2019-07-11,대전,21.3
192,2019-07-12,대전,23.5
193,2019-07-13,대전,24.4
194,2019-07-14,대전,25.9
195,2019-07-15,대전,23.8
196,2019-07-16,대전,24.8
197,2019-07-17,대전,26.0
198,2019-07-18,대전,25.6
199,2019-07-19,대전,26.6
200,2019-07-20,대전,25.6
201,2019-07-21,대전,24.8
202,2019-07-22,대전,27.9
203,2019-07-23,대전,29.0
204,2019-07-24,대전,27.7
205,2019-07-25,대전,26.4
206,2019-07-26,대전,27.0
207,2019-07-27,대전,27.9
208,2019-07-28,대전,26.7
209,2019-07-29,대전,28.5
210,2019-07-30,대전,29.4
211,2019-07-31,대전,29.6
212,2019-08-01,대전,29.5
213,2019-08-02,대전,30.0
214,2019-08-03,대전,29.9
215,2019-08-04,대전,29.8
216,2019-08-05,대전,30.7
217,2019-08-06,대전,29.7
218,2019-08-07,대전,28.6
219,2019-08-08,대전,28.5
220,2019-08-09,대전,29.5
221,2019-08-10,대전,30.2
222,2019-08-11,대전,29.7
223,2019-08-12,대전,29.0
224,2019-08-13,대전,29.8
225,2019-08-14,대전,30.1
226,2019-08-15,대전,25.8
227,2019-08-16,대전,26.9
228,2019-08-17,대전,26.3
229,2019-08-18,대전,25.6
230,2019-08-19,대전,26.5
231,2019-08-20,대전,27.8
232,2019-08-21,대전,27.3
233,2019-08-22,대전,26.5
234,2019-08-23,대전,25.2
235,2019-08-24,대전,23.6
236,2019-08-25,대전,24.6
237,2019-08-26,대전,25.9
238,2019-08-27,대전,22.4
239,2019-08-28,대전,24.2
240,2019-08-29,대전,23.2
241,2019-08-30,대전,23.2
242,2019-08-31,대전,23.3
243,2019-09-01,대전,23.5
244,2019-09-02,대전,22.6
245,2019-09-03,대전,22.3
246,2019-09-04,대전,24.5
247,2019-09-05,대전,24.4
248,2019-09-06,대전,25.6
249,2019-09-07,대전,26.2
250,2019-09-08,대전,25.3
251,2019-09-09,대전,24.0
252,2019-09-10,대전,27.2
253,2019-09-11,대전,25.3
254,2019-09-12,대전,20.8
255,2019-09-13,대전,22.9
256,2019-09-14,대전,23.4
257,2019-09-15,대전,25.3
258,2019-09-16,대전,24.5
259,2019-09-17,대전,23.0
260,2019-09-18,대전,21.9
261,2019-09-19,대전,20.2
262,2019-09-20,대전,20.0
263,2019-09-21,대전,17.8
264,2019-09-22,대전,16.4
265,2019-09-23,대전,17.8
266,2019-09-24,대전,18.3
267,2019-09-25,대전,18.8
268,2019-09-26,대전,20.9
269,2019-09-27,대전,22.7
270,2019-09-28,대전,24.2
271,2019-09-29,대전,22.7
272,2019-09-30,대전,22.1
273,2019-10-01,대전,22.1
274,2019-10-02,대전,21.1
275,2019-10-03,대전,22.2
276,2019-10-04,대전,22.5
277,2019-10-05,대전,19.2
278,2019-10-06,대전,18.4
279,2019-10-07,대전,15.7
280,2019-10-08,대전,15.6
281,2019-10-09,대전,13.2
282,2019-10-10,대전,14.1
283,2019-10-11,대전,17.4
284,2019-10-12,대전,18.3
285,2019-10-13,대전,16.7
286,2019-10-14,대전,14.6
287,2019-10-15,대전,14.2
288,2019-10-16,대전,14.5
289,2019-10-17,대전,15.0
290,2019-10-18,대전,15.8
291,2019-10-19,대전,16.7
292,2019-10-20,대전,15.4
293,2019-10-21,대전,15.5
294,2019-10-22,대전,16.9
295,2019-10-23,대전,16.5
296,2019-10-24,대전,18.9
297,2019-10-25,대전,17.3
298,2019-10-26,대전,12.7
299,2019-10-27,대전,10.8
300,2019-10-28,대전,11.9
301,2019-10-29,대전,14.1
302,2019-10-30,대전,11.6
303,2019-10-31,대전,13.3
304,2019-11-01,대전,14.6
305,2019-11-02,대전,13.2
306,2019-11-03,대전,14.4
307,2019-11-04,대전,13.6
308,2019-11-05,대전,12.1
309,2019-11-06,대전,11.8
310,2019-11-07,대전,10.8
311,2019-11-08,대전,6.8
312,2019-11-09,대전,8.1
313,2019-11-10,대전,9.1
314,2019-11-11,대전,11.7
315,2019-11-12,대전,9.6
316,2019-11-13,대전,8.2
317,2019-11-14,대전,2.9
318,2019-11-15,대전,9.6
319,2019-11-16,대전,13.0
320,2019-11-17,대전,9.8
321,2019-11-18,대전,7.7
322,2019-11-19,대전,2.6
323,2019-11-20,대전,2.0
324,2019-11-21,대전,4.3
325,2019-11-22,대전,9.9
326,2019-11-23,대전,11.4
327,2019-11-24,대전,12.8
328,2019-11-25,대전,3.6
329,2019-11-26,대전,7.7
330,2019-11-27,대전,5.8
331,2019-11-28,대전,4.6
332,2019-11-29,대전,2.9
333,2019-11-30,대전,4.9
334,2019-12-01,대전,6.4
335,2019-12-02,대전,2.7
336,2019-12-03,대전,2.3
337,2019-12-04,대전,5.7
338,2019-12-05,대전,-0.6
339,2019-12-06,대전,-4.4
340,2019-12-07,대전,-0.1
341,2019-12-08,대전,1.2
342,2019-12-09,대전,3.3
343,2019-12-10,대전,7.8
344,2019-12-11,대전,7.9
345,2019-12-12,대전,1.0
346,2019-12-13,대전,0.9
347,2019-12-14,대전,4.4
348,2019-12-15,대전,5.4
349,2019-12-16,대전,7.9
350,2019-12-17,대전,7.7
351,2019-12-18,대전,2.7
352,2019-12-19,대전,0.8
353,2019-12-20,대전,0.9
354,2019-12-21,대전,0.3
355,2019-12-22,대전,3.2
356,2019-12-23,대전,3.8
357,2019-12-24,대전,1.2
358,2019-12-25,대전,2.2
359,2019-12-26,대전,2.4
360,2019-12-27,대전,0.1
361,2019-12-28,대전,0.6
362,2019-12-29,대전,2.0
363,2019-12-30,대전,4.2
364,2019-12-31,대전,-4.7
